,Mean,Farmer No.,Zeros,Eligibility,loan
0,9181.18653846154,1,6.65,2,55838.79532163744
1,11496.648076923077,2,1.875,2,69921.13450292397
2,8015.49230769231,3,1.925,2,48749.19298245615
3,87371.01730769232,4,0.15,1,534505.0470588235
4,1356.2076923076925,5,2.475,2,8248.280701754387
5,71216.5,6,2.65,2,433129.59064327483
6,16386.990384615383,7,2.35,2,99663.567251462
7,13798.519230769229,8,2.375,2,83920.81871345028
8,12051.413461538463,9,1.95,2,73295.14619883042
9,2959.992307692308,10,4.5,2,18002.292397660818
10,11869.359615384614,11,0.025,2,72187.91812865496
11,104656.63076923079,12,4.9,2,636508.1637426901
12,52590.8346153846,13,1.475,2,319850.69005847943
13,25369.355769230762,14,8.925,2,154293.1578947368
14,24785.05000000001,15,0.0,2,150739.48538011702
15,44000.09038461539,16,0.4,2,267602.88888888893
16,291.6423076923078,17,7.3,2,1773.7309941520475
17,19328.807692307684,18,1.45,2,117555.32163742685
18,17023.22115384615,19,0.0,2,103533.0409356725
19,66835.62884615385,20,2.475,2,406485.69590643275
20,20193.12884615385,21,0.675,2,122812.01169590646
21,74300.08461538462,22,1.375,2,451883.55555555556
22,103692.38076923077,23,0.0,1,634353.3882352943
23,230925.93653846154,24,2.875,2,1404461.83625731
24,5010.884615384617,25,3.75,2,30475.555555555566
25,6698.903846153846,26,2.3,2,40741.87134502924
26,32520.742307692308,27,7.65,2,197786.9707602339
27,4432.9807692307695,28,1.3,2,26960.81871345029
28,114496.35192307693,29,1.125,1,700448.2705882353
29,347950.85576923075,30,1.075,1,2128640.529411765
30,9788.559615384615,31,0.275,2,59532.76023391813
31,223150.5711538462,32,0.875,1,1365156.4352941178
32,9481.85576923077,33,3.15,2,57667.4269005848
33,43049.724999999984,34,0.825,2,261822.8888888888
34,22260.915384615386,35,0.95,2,135388.02339181287
35,6192.907692307691,36,0.0,2,37664.467836257296
36,8475.311538461541,38,0.2,2,51545.75438596494
37,2126.463461538461,39,1.575,2,12932.877192982454
38,7895.176923076923,40,0.8,2,48017.45029239766
39,32473.949999999993,41,2.825,2,197502.38596491225
40,23260.90576923077,42,4.2,2,141469.83625730994
41,21032.61730769232,43,0.0,2,127917.67251461995
42,12030.819230769233,44,7.775,2,73169.89473684212
43,24467.84807692308,45,0.0,2,148810.30409356728
44,1145.4884615384613,46,4.3,2,6966.713450292396
45,5322.717307692307,47,0.0,2,32372.081871345028
46,7179.011538461537,48,0.0,2,43661.824561403504
47,33183.0076923077,49,0.225,2,201814.78362573104
48,60166.8230769231,50,0.725,2,365926.8771929826
49,2378.2615384615387,51,3.225,2,14464.28070175439
50,100579.85,52,0.8,1,615312.0235294118
51,7424.871153846152,53,4.0,2,45157.1111111111
52,11691.928846153849,54,5.475,2,71108.80701754388
53,781.7673076923077,55,1.85,2,4754.608187134503
54,1682.4115384615386,56,0.0,2,10232.21052631579
55,619.175,57,10.075,2,3765.7426900584796
56,48360.686538461545,58,0.325,2,294123.47368421056
57,31714.59423076925,59,0.0,2,192884.08187134514
58,60061.05576923078,60,0.925,2,365283.61403508775
59,1898.9923076923073,61,6.025,2,11549.426900584793
60,2059.076923076923,62,0.325,2,12523.040935672514
